x,y,z,ale
100,10,100,7.14301641735255
0,20,100,5.5482860804135
10,20,100,5.65193871400377
20,20,100,5.7730032258627
30,20,100,5.91040975626987
40,20,100,6.06304733202876
50,20,100,6.22979651642446
60,20,100,6.409556033292
70,20,100,6.60126311201028
80,20,100,6.80390792311945
90,20,100,7.01654285248866
100,20,100,7.23828753211381
0,30,100,5.68997570393041
10,30,100,5.79109284229348
20,30,100,5.90930717825952
30,30,100,6.04361552121065
40,30,100,6.19297085667528
50,30,100,6.35631258807043
60,30,100,6.53259164689774
70,30,100,6.72079011390743
80,30,100,6.91993555659992
90,30,100,7.1291106515482
100,30,100,7.34745884498596
0,40,100,5.84725498116414
10,40,100,5.94569790785685
20,40,100,6.06089751030818
30,40,100,6.19191859375176
40,40,100,6.33778000052541
50,40,100,6.49748236016791
60,40,100,6.67003155378958
70,40,100,6.85445745910108
80,40,100,7.04982804123096
90,40,100,7.25525919491844
100,40,100,7.46992093547133
0,50,100,6.0189019214805
10,50,100,6.11458200837523
20,50,100,6.22665786406421
30,50,100,6.35426198683226
40,50,100,6.49647942047941
50,50,100,6.65237300114371
60,50,100,6.82100509120183
70,50,100,7.00145531902326
80,50,100,7.19283427701341
90,50,100,7.39429344231761
100,50,100,7.60503177559737
0,60,100,6.20372404997809
10,60,100,6.29659629363523
20,60,100,6.40548826429239
30,60,100,6.52959854395172
40,60,100,6.66807742970847
50,60,100,6.82004972813401
60,60,100,6.98463472216524
70,60,100,7.16096280762259
80,60,100,7.34818866690656
90,60,100,7.54550112709395
100,60,100,7.75213003346309
0,70,100,6.400580134517
10,70,100,6.49063624424587
20,70,100,6.59632578592694
30,70,100,6.71691083127307
40,70,100,6.85160496370629
50,70,100,6.9995937213754
60,70,100,7.16005280512465
70,70,100,7.33216354852039
80,70,100,7.51512545833741
90,70,100,7.70816587970662
100,70,100,7.91054701179493
0,80,100,6.60839483162841
10,80,100,6.69565643140667
20,80,100,6.7981593145795
30,80,100,6.91522575969816
40,80,100,7.04612991442849
50,80,100,7.19011602525559
60,80,100,7.34641493277454
70,80,100,7.51425834627547
80,80,100,7.6928906691094
90,80,100,7.88157835851377
100,80,100,8.07961695986493
0,90,100,6.82616734817091
10,90,100,6.91067966715135
20,90,100,7.01003912121364
30,90,100,7.12362447930367
40,90,100,7.2507672135813
50,90,100,7.39076767806829
60,90,100,7.5429099675811
70,90,100,7.70647499892864
80,90,100,7.88075156704055
90,90,100,8.0650453089821
100,90,100,8.25868564801196
0,100,100,7.05297535101311
10,100,100,7.13480161593459
20,100,100,7.23108215398701
30,100,100,7.34124828342553
40,100,100,7.46468524603077
50,100,100,7.60074650991221
60,100,100,7.74876709004718
70,100,100,7.90807546409845
80,100,100,8.07800383128009
90,100,100,8.257896613103
100,100,100,8.44711721650898
